Date,rGoog,rf,rM_ex,rSmB,rHmL
1/2/09,-0.001596374,0.0001,-0.116556513,0.0015,-0.0727
1/3/09,0.02935853,0.0002,0.081752693,-0.001,0.0362
1/4/09,0.128963568,0.0001,0.089672219,0.0474,0.0544
1/5/09,0.052299185,0,0.051720577,-0.0235,-0.0014
1/6/09,0.010395703,0.0001,9.58E-05,0.026,-0.0266
1/7/09,0.04964934,0.0001,0.071421949,0.0205,0.0522
1/8/09,0.04116769,0.0001,0.032909337,-0.0081,0.0785
1/9/09,0.071423128,0.0001,0.035000067,0.0249,0.0097
1/10/09,0.078084538,0,-0.019959881,-0.0429,-0.0426
1/11/09,0.083829218,0,0.055779077,-0.0248,-0.0012
1/12/09,0.06150002,0.0001,0.017514521,0.0611,0
1/1/10,-0.156923483,0,-0.037675124,0.0037,0.003
1/2/10,-0.005942786,0,0.02811474,0.0119,0.0318
1/3/10,0.073749949,0.0001,0.057032816,0.0149,0.0215
1/4/10,-0.075840215,0.0001,0.014551372,0.0499,0.0283
1/5/10,-0.079283689,0.0001,-0.085631573,0,-0.0241
1/6/10,-0.087485075,0.0001,-0.055488449,-0.0201,-0.0452
1/7/10,0.085877614,0.0001,0.066415799,0.0021,-0.0021
1/8/10,-0.074547521,0.0001,-0.048711823,-0.0299,-0.0196
1/9/10,0.155609852,0.0001,0.083828474,0.0392,-0.0312
1/10/10,0.154604307,0.0001,0.036093052,0.0114,-0.0252
1/11/10,-0.099259574,0.0001,-0.002392876,0.0368,-0.0091
1/12/10,0.066582222,0.0001,0.063156488,0.0068,0.0378
1/1/11,0.010700639,0.0001,0.022292969,-0.0248,0.0082
1/2/11,0.0214878,0.0001,0.031356577,0.0153,0.011
1/3/11,-0.044401448,0.0001,-0.001147862,0.0258,-0.0157
1/4/11,-0.075482727,0,0.028096939,-0.0031,-0.0253
1/5/11,-0.028106915,0,-0.013592919,-0.0072,-0.0209
1/6/11,-0.043738829,0,-0.018426186,-0.002,-0.0033
1/7/11,0.175773449,0,-0.021708356,-0.0134,-0.0116
1/8/11,-0.109715499,0.0001,-0.058567502,-0.0303,-0.024
1/9/11,-0.049100709,0,-0.074467101,-0.0354,-0.0137
1/10/11,0.14034255,0,0.102306592,0.0344,-0.0022
1/11/11,0.011325303,0,-0.005071554,-0.0018,-0.0042
1/12/11,0.074732254,0,0.008496566,-0.0067,0.0171
1/1/12,-0.107426957,0,0.042660044,0.0215,-0.0111
1/2/12,6.37E-02,0,0.039787345,-0.0172,0.0011
1/3/12,0.036510884,0,0.030851476,-0.0063,0.0089
1/4/12,-0.058423305,0,-0.0075257,-0.0054,-0.0046
1/5/12,-0.040470704,0.0001,-0.064799308,0,-0.0052
1/6/12,-0.001361007,0,0.03879272,0.0079,0.0041
1/7/12,0.08727425,0,0.012518885,-0.026,-0.0025
1/8/12,0.079127192,0.0001,0.01947061,0.0039,0.0134
1/9/12,0.096504997,0.0001,0.023847119,0.0048,0.0157
1/10/12,-0.103521406,0.0001,-0.020087843,-0.0109,0.0364
1/11/12,0.026215193,0.0001,0.002742673,0.0054,-0.0081
1/12/12,0.012818962,0.0001,0.006943368,0.0149,0.0352
1/1/13,0.066063214,0,0.049197792,0.0044,0.0095
1/2/13,0.058479402,0,0.010999928,-0.0043,0.0011
1/3/13,-0.008787903,0,0.035355294,0.0084,-0.0026
1/4/13,0.037539351,0,0.017924166,-0.0243,0.0057
1/5/13,0.055032446,0,0.020550202,0.0169,0.0249
1/6/13,0.010447756,0,-0.015112929,0.0117,-0.0013
1/7/13,0.008347927,0,0.048277728,0.0188,0.0061
1/8/13,-0.047107584,0,-0.031798268,0.0025,-0.0277
1/9/13,0.03368076,0,0.029315591,0.0294,-0.012
1/10/13,0.162613691,0,0.043629971,-0.0152,0.011
1/11/13,0.027760264,0,0.02766329,0.0125,0.0026
1/12/13,0.056080422,0,0.023289474,-0.0048,-0.0031
1/1/14,0.052373725,0,-0.036231407,0.0087,-0.0213
1/2/14,0.028942704,0,0.042213375,0.0034,-0.0037
1/3/14,-0.083634406,0,0.006908249,-0.0185,0.0503
1/4/14,-0.058697919,0,0.006181643,-0.0419,0.011
1/5/14,0.061185151,0,0.020812196,-0.0185,-0.0036
1/6/14,0.027116555,0,0.018878997,0.0301,-0.0066
1/7/14,-0.006417389,0,-0.015194687,-0.0422,-0.0002
1/8/14,0,0,0.036963644,0.004,-0.0055
1/9/14,0.010026461,0,-0.015635436,-0.038,-0.0119
1/10/14,-0.032173337,0,0.022936399,0.0428,-0.0168
1/11/14,-0.031340335,0,0.024237474,-0.0205,-0.0298
1/12/14,-0.028890843,0,-0.004197385,0.0259,0.0212
1/1/15,0.015303224,0,-0.031532779,-0.0051,-0.0347
1/2/15,0.043706445,0,0.053438876,0.0051,-0.0173
1/3/15,-0.018800259,0,-0.017549197,0.0307,-0.0045
1/4/15,-0.01415627,0,0.008484722,-0.0301,0.0184
1/5/15,-0.009780885,0,0.01043673,0.009,-0.0132
1/6/15,-0.022041087,0,-0.021235559,0.0285,-0.008
