Date,SP,BH
1/1/09,825.88 ,89502
1/2/09,735.09 ,78600
1/3/09,797.87 ,86700
1/4/09,872.81 ,94000
1/5/09,919.14 ,91600
1/6/09,919.32 ,90000
1/7/09,987.48 ,97000
1/8/09,1020.62 ,100850
1/9/09,1057.08 ,101000
1/10/09,1036.19 ,99000
1/11/09,1095.63 ,100600
1/12/09,1115.10 ,99200
1/1/10,1073.87 ,114600
1/2/10,1104.49 ,119800
1/3/10,1169.43 ,121800
1/4/10,1186.69 ,115325
1/5/10,1089.41 ,105910
1/6/10,1030.71 ,120000
1/7/10,1101.60 ,117000
1/8/10,1049.33 ,118675
1/9/10,1141.20 ,124500
1/10/10,1183.26 ,119300
1/11/10,1180.55 ,120200
1/12/10,1257.64 ,120450
1/1/11,1286.12 ,122425
1/2/11,1327.22 ,131300
1/3/11,1325.83 ,125300
1/4/11,1363.61 ,124750
1/5/11,1345.20 ,118775
1/6/11,1320.64 ,116105
1/7/11,1292.28 ,111500
1/8/11,1218.89 ,109769
1/9/11,1131.42 ,106800
1/10/11,1253.30 ,116950
1/11/11,1246.96 ,118500
1/12/11,1257.60 ,114755
1/1/12,1312.41 ,117925
1/2/12,1365.68 ,117934
1/3/12,1408.47 ,121900
1/4/12,1397.91 ,120800
1/5/12,1310.33 ,118850
1/6/12,1362.16 ,124945
1/7/12,1379.32 ,127445
1/8/12,1406.58 ,126560
1/9/12,1440.67 ,132700
1/10/12,1412.16 ,129505
1/11/12,1416.18 ,131916
1/12/12,1426.19 ,134060
1/1/13,1498.11 ,145875
1/2/13,1514.68 ,152600
1/3/13,1569.19 ,156280
1/4/13,1597.57 ,159000
1/5/13,1630.74 ,171300
1/6/13,1606.28 ,168600
1/7/13,1685.73 ,173900
1/8/13,1632.97 ,167050
1/9/13,1681.55 ,170410
1/10/13,1756.54 ,172994
1/11/13,1805.81 ,174750
1/12/13,1848.36 ,177900
1/1/14,1782.59 ,169511
1/2/14,1859.45 ,173708
1/3/14,1872.34 ,187350
1/4/14,1883.95 ,193275
1/5/14,1923.57 ,192000
1/6/14,1960.23 ,189900
1/7/14,1930.67 ,188124
1/8/14,2003.37 ,205880
1/9/14,1972.29 ,206900
1/10/14,2018.05 ,210000
1/11/14,2067.56 ,223065
1/12/14,2058.90 ,226000
1/1/15,1994.99 ,215865
1/2/15,2104.50 ,221180
1/3/15,2067.89 ,217500
1/4/15,2085.51 ,213400
1/5/15,2107.39 ,214800
1/6/15,2063.11 ,204850
1/7/15,2103.84 ,214000
1/8/15,1972.18 ,202531
1/9/15,1920.03 ,195240
1/10/15,2079.36 ,204596
1/11/15,2080.41 ,201360
1/12/15,2043.94 ,197800
1/1/16,1940.24 ,194360
1/2/16,1932.23 ,202555
1/3/16,2059.74 ,213450
1/4/16,2065.30 ,219000
1/5/16,2096.95 ,211695
1/6/16,2098.86 ,216975
1/7/16,2173.60 ,216000
1/8/16,2170.95 ,225760
1/9/16,2168.27 ,216220
1/10/16,2126.15 ,215700
1/11/16,2198.81 ,237000
1/12/16,2238.83 ,244121
1/1/17,2278.87 ,245980
1/2/17,2363.64 ,257100
1/3/17,2362.72 ,249850
1/4/17,2384.20 ,247780
1/5/17,2411.80 ,248440
1/6/17,2423.41,254700
1/7/17,2470.3,262786
1/8/17,2471.65,271450
1/9/17,2519.36,274740
1/10/17,2575.26,280470
1/11/17,2584.84,291500
1/12/17,2673.61,297600
1/1/18,2823.81,323375
1/2/18,2713.83,310250
1/3/18,2640.87,299100
1/4/18,2648.05,290650
1/5/18,2705.27,287200
1/6/18,2718.37,282040
1/7/18,2816.29,301550
